chemin,classe,classe_LOC,classe_CLOC,classe_DC,WMC,classe_BC
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,StatisticalLineAndShapeRendererTest.java,108,68,0.6296296,7,0.08994709
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,StatisticalBarRendererTest.java,169,89,0.52662724,10,0.052662723
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,StackedBarRendererTest.java,68,57,0.8382353,5,0.16764706
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,BoxAndWhiskerRendererTest.java,387,107,0.2764858,21,0.013165991
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,MinMaxCategoryRendererTest.java,82,60,0.73170733,5,0.14634147
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,AreaRendererTest.java,80,58,0.725,5,0.14500001
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,GradientBarPainterTest.java,46,51,1.1086956,4,0.2771739
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,CategoryStepRendererTest.java,62,57,0.91935486,4,0.22983871
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,StackedAreaRendererTest.java,67,57,0.8507463,5,0.17014925
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,DefaultCategoryItemRendererTest.java,44,53,1.2045455,4,0.30113637
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,LevelRendererTest.java,107,74,0.69158876,7,0.098798394
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,LineAndShapeRendererTest.java,177,73,0.4124294,19,0.02170681
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,BarRendererTest.java,183,81,0.44262296,8,0.05532787
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/category/,AbstractCategoryItemRendererTest.java,209,86,0.41148326,6,0.068580545
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,AbstractRendererTest.java,560,140,0.25,15,0.016666668
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,DefaultPolarItemRendererTest.java,44,50,1.1363636,3,0.37878788
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,LookupPaintScaleTest.java,108,58,0.537037,5,0.107407406
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,AreaRendererEndTypeTest.java,21,44,2.0952382,2,1.0476191
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,OutlierTest.java,44,54,1.2272727,4,0.3068182
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,ClusteredXYBarRendererTest.java,90,63,0.7,6,0.11666667
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,AbstractXYItemRendererTest.java,96,64,0.6666667,5,0.13333334
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYSplineRendererTest.java,69,53,0.76811594,4,0.19202898
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYStepAreaRendererTest.java,98,60,0.6122449,5,0.12244898
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,WindItemRendererTest.java,41,53,1.2926829,4,0.32317072
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,StackedXYBarRendererTest.java,93,61,0.65591395,6,0.109318994
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,DeviationRendererTest.java,46,54,1.173913,4,0.29347825
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYBubbleRendererTest.java,90,57,0.6333333,5,0.12666667
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYStepRendererTest.java,110,64,0.58181816,6,0.096969694
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,HighLowRendererTest.java,94,63,0.67021275,5,0.13404255
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYAreaRendererTest.java,153,63,0.4117647,6,0.068627454
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,StandardXYItemRendererTest.java,160,64,0.4,6,0.06666667
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,StandardXYBarPainterTest.java,36,51,1.4166666,4,0.35416666
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,GradientXYBarPainterTest.java,46,51,1.1086956,4,0.2771739
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,StackedXYAreaRendererTest.java,136,65,0.4779412,7,0.068277314
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYBlockRendererTest.java,116,72,0.62068963,8,0.077586204
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYErrorRendererTest.java,97,70,0.72164947,7,0.10309278
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYBoxAndWhiskerRendererTest.java,92,58,0.6304348,5,0.12608697
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,YIntervalRendererTest.java,152,60,0.39473686,5,0.07894737
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,StackedXYAreaRenderer2Test.java,96,62,0.6458333,6,0.10763889
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,CandlestickRendererTest.java,125,70,0.56,6,0.093333334
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,VectorRendererTest.java,47,55,1.1702127,4,0.2925532
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,RendererXYPackageUtils.java,31,50,1.6129032,2,0.8064516
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYDotRendererTest.java,95,58,0.6105263,5,0.12210526
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYBarRendererTest.java,235,90,0.38297874,10,0.038297873
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYAreaRenderer2Test.java,115,64,0.5565217,6,0.09275362
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYLineAndShapeRendererTest.java,196,66,0.33673468,8,0.042091835
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYShapeRendererTest.java,103,56,0.5436893,4,0.13592233
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,XYDifferenceRendererTest.java,115,65,0.5652174,6,0.0942029
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/xy/,DeviationStepRendererTest.java,46,54,1.173913,4,0.29347825
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/renderer/,GrayPaintScaleTest.java,64,55,0.859375,4,0.21484375
/Users/marinasirotina/Documents/GitHub/jfreechart/src/test/java/org/jfree/chart/,TestUtils.java,118,69,0.58474576,5,0.116949156
